code,account_name,account_type
1,الأصول,Asset
101,الأصول الثابتة,Asset
101001,الأصول الثابتة - ثلاجات التبريد,Asset
101001002,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001003,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001004,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001005,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001006,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001007,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001008,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001009,الأصول الثابتة - ثلاجة التبريد  -,Asset
101001010,الأصول الثابتة - ثلاجة التبريد  -,Asset
101002,الأصول الثابتة - كباسات التبريد,Asset
101002001,الأصول الثابتة - كباتسات تبريد -,Asset
101002002,الأصول الثابتة - كباتسات تبريد -,Asset
101002003,الأصول الثابتة - كباتسات تبريد -,Asset
101002004,الأصول الثابتة - كباتسات تبريد -,Asset
101002005,الأصول الثابتة - كباتسات تبريد -,Asset
101002006,الأصول الثابتة - كباتسات تبريد -,Asset
101002007,الأصول الثابتة - كباتسات تبريد -,Asset
101002008,الأصول الثابتة - كباتسات تبريد -,Asset
101002009,الأصول الثابتة - كباتسات تبريد -,Asset
101002010,الأصول الثابتة - كباتسات تبريد -,Asset
101003,الأصول الثابتة - كمبيوتر و طابعات و برامج,Asset
101003001,الأصول الثابتة - كمبيوتر  وطابعات - Lap top,Asset
101003002,الأصول الثابتة - كمبيوتر  وطابعات - Disk top,Asset
101003003,الأصول الثابتة - كمبيوتر  وطابعات -  طابعات,Asset
101003004,الأصول الثابتة - كمبيوتر  وطابعات - ماكينة تصوير,Asset
101003005,الأصول الثابتة - كمبيوتر  وطابعات -  تابلت,Asset
101003006,الأصول الثابتة - كمبيوتر  وطابعات -,Asset
101003007,الأصول الثابتة - كمبيوتر  وطابعات -,Asset
101003008,الأصول الثابتة - كمبيوتر  وطابعات -,Asset
101003009,الأصول الثابتة - كمبيوتر  وطابعات -,Asset
101003010,الأصول الثابتة - كمبيوتر  وطابعات -,Asset
101004,الأصول الثابتة - ماكينات التعبئة و التغليف,Asset
101004001,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004002,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004003,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004004,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004005,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004006,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004007,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004008,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004009,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101004010,الأصول الثابتة - ماكينات التعبئة و التغليف -,Asset
101005,الأصول الثابتة -  الميزان الالكترونى,Asset
101005001,الأصول الثابتة - الميزان الالكترونى -,Asset
101005002,الأصول الثابتة - الميزان الالكترونى -,Asset
101005003,الأصول الثابتة - الميزان الالكترونى -,Asset
101005004,الأصول الثابتة - الميزان الالكترونى -,Asset
101005005,الأصول الثابتة - الميزان الالكترونى -,Asset
101005006,الأصول الثابتة - الميزان الالكترونى -,Asset
101005007,الأصول الثابتة - الميزان الالكترونى -,Asset
101005008,الأصول الثابتة - الميزان الالكترونى -,Asset
101005009,الأصول الثابتة - الميزان الالكترونى -,Asset
101005010,الأصول الثابتة - الميزان الالكترونى -,Asset
102,البنوك و النقدية,Asset
102001,حسابات البنوك,Asset
102001001,حساب بنك - CIB - بالجنية المصرى,Asset
102001002,حساب بنك - CIB - بالدولار,Asset
102001003,حساب بنك -  CPS - CIB,Asset
102001004,حساب نقدية بالصندوق,Asset
102001005,حساب بنك -,Asset
102001006,حساب بنك -,Asset
102001007,حساب بنك -,Asset
102001008,حساب بنك -,Asset
102001009,حساب بنك -,Asset
102001010,حساب بنك -,Asset
102002,حسابات النقدية,Asset
102002001,نقدية بالخزينة - الرئيسية -  بالجنية المصرى,Asset
102002002,نقدية بالخزينة - الرئيسية - بالدولار,Asset
102002003,نقدية بالخزينة - الرئيسية -,Asset
102002004,نقدية بالخزينة - الرئيسية -,Asset
102002005,نقدية بالخزينة - الرئيسية -,Asset
102002006,نقدية بالخزينة - الرئيسية -,Asset
102002007,نقدية بالخزينة - الرئيسية -,Asset
102002008,نقدية بالخزينة - الرئيسية -,Asset
102002009,نقدية بالخزينة - الرئيسية -,Asset
102002010,نقدية بالخزينة - الرئيسية -,Asset
102003,العهد المؤقتة,Asset
102003001,العهد المؤقتة -,Asset
102003002,العهد المؤقتة -,Asset
102003003,العهد المؤقتة -,Asset
102003004,العهد المؤقتة -,Asset
102003005,العهد المؤقتة -,Asset
102003006,العهد المؤقتة -,Asset
102003007,العهد المؤقتة -,Asset
102003008,العهد المؤقتة -,Asset
102003009,العهد المؤقتة -,Asset
102003010,العهد المؤقتة -,Asset
103,العملاء,Asset
103001,عملاء - محليين,Asset
103001001,عملاء - محليين -,Asset
103001002,عملاء - محليين -,Asset
103001003,عملاء - محليين -,Asset
103001004,عملاء - محليين -,Asset
103001005,عملاء - محليين -,Asset
103001006,عملاء - محليين -,Asset
103001007,عملاء - محليين -,Asset
103001008,عملاء - محليين -,Asset
103001009,عملاء - محليين -,Asset
103001010,عملاء - محليين -,Asset
103002,عملاء - جملة,Asset
103002001,عملاء - جملة -,Asset
103002002,عملاء - جملة -,Asset
103002003,عملاء - جملة -,Asset
103002004,عملاء - جملة -,Asset
103002005,عملاء - جملة -,Asset
103002006,عملاء - جملة -,Asset
103002007,عملاء - جملة -,Asset
103002008,عملاء - جملة -,Asset
103002009,عملاء - جملة -,Asset
103002010,عملاء - جملة -,Asset
103003,عملاء - تصدير,Asset
103003001,عملاء - تصدير -,Asset
103003002,عملاء - تصدير -,Asset
103003003,عملاء - تصدير -,Asset
103003004,عملاء - تصدير -,Asset
103003005,عملاء - تصدير -,Asset
103003006,عملاء - تصدير -,Asset
103003007,عملاء - تصدير -,Asset
103003008,عملاء - تصدير -,Asset
103003009,عملاء - تصدير -,Asset
103003010,عملاء - تصدير -,Asset
104,مدينون متنوعون,Asset
104001,الإيرادات المستحقة,Asset
104001001,الإيرادات المستحقة -,Asset
104001002,الإيرادات المستحقة -,Asset
104001003,الإيرادات المستحقة -,Asset
104001004,الإيرادات المستحقة -,Asset
104001005,الإيرادات المستحقة -,Asset
104001006,الإيرادات المستحقة -,Asset
104001007,الإيرادات المستحقة -,Asset
104001008,الإيرادات المستحقة -,Asset
104001009,الإيرادات المستحقة -,Asset
104001010,الإيرادات المستحقة -,Asset
104002,المصروفات المقدمة,Asset
104002001,مصروفات مقدمة  -,Asset
104002002,مصروفات مقدمة  -,Asset
104002003,مصروفات مقدمة  -,Asset
104002004,مصروفات مقدمة  -,Asset
104002005,مصروفات مقدمة  -,Asset
104002006,مصروفات مقدمة  -,Asset
104002007,مصروفات مقدمة  -,Asset
104002008,مصروفات مقدمة  -,Asset
104002009,مصروفات مقدمة  -,Asset
104002010,مصروفات مقدمة  -,Asset
104003,تأمينات لدى الغير,Asset
104003001,تأمينات لدى الغير -,Asset
104003002,تأمينات لدى الغير -,Asset
104003003,تأمينات لدى الغير -,Asset
104003004,تأمينات لدى الغير -,Asset
104003005,تأمينات لدى الغير -,Asset
104003006,تأمينات لدى الغير -,Asset
104003007,تأمينات لدى الغير -,Asset
104003008,تأمينات لدى الغير -,Asset
104003009,تأمينات لدى الغير -,Asset
104003010,تأمينات لدى الغير -,Asset
104004,ضرائب مدينة,Asset
104004001,ضرائب مدينة - خصم من المنبع,Asset
104004002,ضرائب مدينة -,Asset
104004003,ضرائب مدينة -,Asset
104004004,ضرائب مدينة -,Asset
104004005,ضرائب مدينة -,Asset
104004006,ضرائب مدينة -,Asset
104004007,ضرائب مدينة -,Asset
104004008,ضرائب مدينة -,Asset
104004009,ضرائب مدينة -,Asset
104004010,ضرائب مدينة -,Asset
104005,أرصدة مدينة أخرى,Asset
104005001,أرصدة مدينة أخرى - سلف عاملين,Asset
104005002,أرصدة مدينة أخرى -,Asset
104005003,أرصدة مدينة أخرى -,Asset
104005004,أرصدة مدينة أخرى -,Asset
104005005,أرصدة مدينة أخرى -,Asset
104005006,أرصدة مدينة أخرى -,Asset
104005007,أرصدة مدينة أخرى -,Asset
104005008,أرصدة مدينة أخرى -,Asset
104005009,أرصدة مدينة أخرى -,Asset
104005010,أرصدة مدينة أخرى -,Asset
105,المخزون,Asset
105001,مخزن - الثلاجة رقم 1,Asset
105001001,مخزون - ثلاجة رقم 1 - تمور خام,Asset
105001002,مخزون - ثلاجة رقم 1 - تمور تحت التشغيل,Asset
105001003,مخزون - ثلاجة رقم 1 - تمور جاهزة للبيع,Asset
105001004,مخزون - ثلاجة رقم 1 -,Asset
105001005,مخزون - ثلاجة رقم 1 -,Asset
105001006,مخزون - ثلاجة رقم 1 -,Asset
105001007,مخزون - ثلاجة رقم 1 -,Asset
105001008,مخزون - ثلاجة رقم 1 -,Asset
105001009,مخزون - ثلاجة رقم 1 -,Asset
105001010,مخزون - ثلاجة رقم 1 -,Asset
105002,مخزن - الثلاجة رقم 2,Asset
105002001,مخزون - ثلاجة رقم 2 - تمور خام,Asset
105002002,مخزون - ثلاجة رقم 2 - تمور تحت التشغيل,Asset
105002003,مخزون - ثلاجة رقم 2 - تمور جاهزة للبيع,Asset
105002004,مخزون - ثلاجة رقم 2 -,Asset
105002005,مخزون - ثلاجة رقم 2 -,Asset
105002006,مخزون - ثلاجة رقم 2 -,Asset
105002007,مخزون - ثلاجة رقم 2 -,Asset
105002008,مخزون - ثلاجة رقم 2 -,Asset
105002009,مخزون - ثلاجة رقم 2 -,Asset
105002010,مخزون - ثلاجة رقم 2 -,Asset
105003,مخزن - الثلاجة رقم 3,Asset
105003001,مخزون - ثلاجة رقم 3 - تمور خام,Asset
105003002,مخزون - ثلاجة رقم 3 - تمور تحت التشغيل,Asset
105003003,مخزون - ثلاجة رقم 3 - تمور جاهزة للبيع,Asset
105003004,مخزون - ثلاجة رقم 3 -,Asset
105003005,مخزون - ثلاجة رقم 3 -,Asset
105003006,مخزون - ثلاجة رقم 3 -,Asset
105003007,مخزون - ثلاجة رقم 3 -,Asset
105003008,مخزون - ثلاجة رقم 3 -,Asset
105003009,مخزون - ثلاجة رقم 3 -,Asset
105003010,مخزون - ثلاجة رقم 3 -,Asset
105004,مخزن - مواد التعبئة و التغليف,Asset
105004001,مواد التعبئة و التغليف - كرتون,Asset
105004002,مواد التعبئة و التغليف -,Asset
105004003,مواد التعبئة و التغليف -,Asset
105004004,مواد التعبئة و التغليف -,Asset
105004005,مواد التعبئة و التغليف -,Asset
105004006,مواد التعبئة و التغليف -,Asset
105004007,مواد التعبئة و التغليف -,Asset
105004008,مواد التعبئة و التغليف -,Asset
105004009,مواد التعبئة و التغليف -,Asset
105004010,مواد التعبئة و التغليف -,Asset
105005,مخزن - مواد ومهمات,Asset
105005001,مواد و مهمات -,Asset
105005002,مواد و مهمات -,Asset
105005003,مواد و مهمات -,Asset
105005004,مواد و مهمات -,Asset
105005005,مواد و مهمات -,Asset
105005006,مواد و مهمات -,Asset
105005007,مواد و مهمات -,Asset
105005008,مواد و مهمات -,Asset
105005009,مواد و مهمات -,Asset
105005010,مواد و مهمات -,Asset
2,الإلتزامات و حقوق الكلمية,Liability/Equity
201,حسابات رأس المال,Liability/Equity
201001,رأس المال المدفوع,Liability/Equity
201001001,رأس المال - راس المال المدفوع,Liability/Equity
201001002,رأس المال -,Liability/Equity
201001003,رأس المال -,Liability/Equity
201001004,رأس المال -,Liability/Equity
201001005,رأس المال -,Liability/Equity
201001006,رأس المال -,Liability/Equity
201001007,رأس المال -,Liability/Equity
201001008,رأس المال -,Liability/Equity
201001009,رأس المال -,Liability/Equity
201001010,رأس المال -,Liability/Equity
201002,زيادة رأس المال,Liability/Equity
201002001,زيادة رأس المال -,Liability/Equity
201002002,زيادة رأس المال -,Liability/Equity
201002003,زيادة رأس المال -,Liability/Equity
201002004,زيادة رأس المال -,Liability/Equity
201002005,زيادة رأس المال -,Liability/Equity
201002006,زيادة رأس المال -,Liability/Equity
201002007,زيادة رأس المال -,Liability/Equity
201002008,زيادة رأس المال -,Liability/Equity
201002009,زيادة رأس المال -,Liability/Equity
201002010,زيادة رأس المال -,Liability/Equity
201003,الارباح و الخسائر,Liability/Equity
201003001,الارباح و الخسائر - أرباح وخسائر العام,Liability/Equity
201003002,الارباح و الخسائر - سنوات سابقة,Liability/Equity
201003003,الارباح و الخسائر - تقييم حسابات جارية بالعملة الاجنبية,Liability/Equity
201003004,الارباح و الخسائر -,Liability/Equity
201003005,الارباح و الخسائر -,Liability/Equity
201003006,الارباح و الخسائر -,Liability/Equity
201003007,الارباح و الخسائر -,Liability/Equity
201003008,الارباح و الخسائر -,Liability/Equity
201003009,الارباح و الخسائر -,Liability/Equity
201003010,الارباح و الخسائر -,Liability/Equity
202,التزمات غير متداولة,Liability/Equity
202001,التزمات الايجار,Liability/Equity
202001001,الايجار -,Liability/Equity
202001002,الايجار -,Liability/Equity
202001003,الايجار -,Liability/Equity
202001004,الايجار -,Liability/Equity
202001005,الايجار -,Liability/Equity
202001006,الايجار -,Liability/Equity
202001007,الايجار -,Liability/Equity
202001008,الايجار -,Liability/Equity
202001009,الايجار -,Liability/Equity
202001010,الايجار -,Liability/Equity
202002,قروض طويلة الاجل,Liability/Equity
202002001,قروض طويلة الاجل -,Liability/Equity
202002002,قروض طويلة الاجل -,Liability/Equity
202002003,قروض طويلة الاجل -,Liability/Equity
202002004,قروض طويلة الاجل -,Liability/Equity
202002005,قروض طويلة الاجل -,Liability/Equity
202002006,قروض طويلة الاجل -,Liability/Equity
202002007,قروض طويلة الاجل -,Liability/Equity
202002008,قروض طويلة الاجل -,Liability/Equity
202002009,قروض طويلة الاجل -,Liability/Equity
202002010,قروض طويلة الاجل -,Liability/Equity
203,التزمات متداولة,Liability/Equity
203001,الموردين,Liability/Equity
203001001,الموردين -,Liability/Equity
203001002,الموردين -,Liability/Equity
203001003,الموردين -,Liability/Equity
203001004,الموردين -,Liability/Equity
203001005,الموردين -,Liability/Equity
203001006,الموردين -,Liability/Equity
203001007,الموردين -,Liability/Equity
203001008,الموردين -,Liability/Equity
203001009,الموردين -,Liability/Equity
203001010,الموردين -,Liability/Equity
203002,المخصصات,Liability/Equity
203002001,مخصصات -,Liability/Equity
203002002,مخصصات -,Liability/Equity
203002003,مخصصات -,Liability/Equity
203002004,مخصصات -,Liability/Equity
203002005,مخصصات -,Liability/Equity
203002006,مخصصات -,Liability/Equity
203002007,مخصصات -,Liability/Equity
203002008,مخصصات -,Liability/Equity
203002009,مخصصات -,Liability/Equity
203002010,مخصصات -,Liability/Equity
203003,حساب جارى الشركاء,Liability/Equity
203003001,حساب جارى الشركاء-,Liability/Equity
203003002,حساب جارى الشركاء-,Liability/Equity
203003003,حساب جارى الشركاء-,Liability/Equity
203003004,حساب جارى الشركاء-,Liability/Equity
203003005,حساب جارى الشركاء-,Liability/Equity
203003006,حساب جارى الشركاء-,Liability/Equity
203003007,حساب جارى الشركاء-,Liability/Equity
203003008,حساب جارى الشركاء-,Liability/Equity
203003009,حساب جارى الشركاء-,Liability/Equity
203003010,حساب جارى الشركاء-,Liability/Equity
203004,ضرائب دائنة,Liability/Equity
203004001,ضرائب دائنة - ضرائب القيمة المضافة,Liability/Equity
203004002,ضرائب دائنة - ضرائب كسب العمل,Liability/Equity
203004003,ضرائب دائنة - ضرائب الارباح التجارية و الصناعية 1%,Liability/Equity
203004004,ضرائب دائنة - ضرائب الارباح التجارية و الصناعية 3%,Liability/Equity
203004005,ضرائب دائنة - ضرائب الارباح التجارية و الصناعية 5%,Liability/Equity
203004006,ضرائب دائنة -  ضرائب الدخل ( مصلحة الضرائب العامة ),Liability/Equity
203004007,ضرائب دائنة -  المساهمة التكافلية - تأمين صحى,Liability/Equity
203004008,ضرائب دائنة - ضريبة توزيعات أرباح,Liability/Equity
203004009,ضرائب دائنة -,Liability/Equity
203004010,ضرائب دائنة -,Liability/Equity
203005,المصروفات المستحقة,Liability/Equity
203005001,المصروفات المستحقة - صافى المرتبات المستحقة,Liability/Equity
203005002,المصروفات المستحقة - إيجارات مستحقة,Liability/Equity
203005003,المصروفات المستحقة - مصروفات مستحقة,Liability/Equity
203005004,المصروفات المستحقة -,Liability/Equity
203005005,المصروفات المستحقة -,Liability/Equity
203005006,المصروفات المستحقة -,Liability/Equity
203005007,المصروفات المستحقة -,Liability/Equity
203005008,المصروفات المستحقة -,Liability/Equity
203005009,المصروفات المستحقة -,Liability/Equity
203005010,المصروفات المستحقة -,Liability/Equity
203006,أرصدة دائنة اخرى - متنوعة,Liability/Equity
203006001,أرصدة دائنة اخرى - حصة الشركة فى أرصدة دائنة اخرى,Liability/Equity
203006002,أرصدة دائنة اخرى - حصة العامل فى أرصدة دائنة اخرى,Liability/Equity
203006003,أرصدة دائنة اخرى - الهيئة القومية للتأمينات الاجتماعية,Liability/Equity
203006004,أرصدة دائنة اخرى - صندوق الشهداء,Liability/Equity
203006005,أرصدة دائنة اخرى - ضرائب مؤجلة,Liability/Equity
203006006,أرصدة دائنة اخرى - مساهمة تكافلية افراد - اعانة كرونا,Liability/Equity
203006007,أرصدة دائنة اخرى -,Liability/Equity
203006008,أرصدة دائنة اخرى -,Liability/Equity
203006009,أرصدة دائنة اخرى -,Liability/Equity
203006010,أرصدة دائنة اخرى -,Liability/Equity
203007,مجمع الإهلاك,Liability/Equity
203007001,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007002,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007003,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007004,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007005,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007006,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007007,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007008,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007009,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007010,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007011,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007012,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007013,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007014,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007015,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007016,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007017,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007018,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007019,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
203007020,مجمع الإهلاك - الاصول الثابتة -,Liability/Equity
3,المصروفات,Expense
301,مصروفات العمليات و التشغيل,Expense
301001,مصروفات التشغيل,Expense
301001001,مصروفات التشغيل -  تكلفة مبيعات  - تمور خام,Expense
301001002,مصروفات التشغيل - تكلفة البضاعة - جاهزة للبيع,Expense
301001003,مصروفات التشغيل - تحميل و تنزيل,Expense
301001004,مصروفات التشغيل -  تبخير التمور,Expense
301001005,مصروفات التشغيل -  نقل و نولون,Expense
301001006,مصروفات التشغيل - إعاشة عمال,Expense
301001007,مصروفات التشغيل -  أجور و مرتبات,Expense
301001008,مصروفات التشغيل - تأمينات اجتماعية,Expense
301001009,مصروفات التشغيل -,Expense
301001010,مصروفات التشغيل -,Expense
301001011,مصروفات التشغيل -,Expense
301001012,مصروفات التشغيل -,Expense
301001013,مصروفات التشغيل -,Expense
301001014,مصروفات التشغيل -,Expense
301001015,مصروفات التشغيل -,Expense
301001016,مصروفات التشغيل -,Expense
301001017,مصروفات التشغيل -,Expense
301001018,مصروفات التشغيل -,Expense
301001019,مصروفات التشغيل -,Expense
301001020,مصروفات التشغيل -,Expense
302,مصروفات الإدارة العامة,Expense
302001,مصروفات عمومية و إدارية - وتسويقية,Expense
302001001,مصروفات  عمومية - أجور و مرتبات,Expense
302001002,مصروفات عمومية - إيجار المقر,Expense
302001003,مصروفات عمومية - اتصالات و انترنت,Expense
302001004,مصروفات عمومية - ادوات مكتبية وتصوير و أحبار,Expense
302001005,مصروفات عمومية - مصاريف كمبيوتر ، وبرامج,Expense
302001006,مصروفات عمومية - بوفية و ضيافة,Expense
302001007,مصروفات عمومية - مصاريف سيارات,Expense
302001008,مصروفات عمومية - كهرباء,Expense
302001009,مصروفات عمومية - مستلزمات طبية,Expense
302001010,مصروفات عمومية - أتعاب محاماه,Expense
302001011,مصروفات عمومية - مصروفات وعمولات بنكية,Expense
302001012,مصروفات عمومية -,Expense
302001013,مصروفات عمومية - تأمينات اجتماعية,Expense
302001014,مصروفات عمومية - مراقبين حسابات,Expense
302001015,مصروفات عمومية - انتقالات,Expense
302001016,مصروفات عمومية - إكراميات,Expense
302001017,مصروفات عمومية - مصاريف إدارية متنوعة,Expense
302001018,مصروفات عمومية - دعاية و إعلان,Expense
302001019,مصروفات عمومية - مصروف اهلاك الاصول الثابتة,Expense
302001020,مصروفات عمومية - رسوم - دمغات - غرامات,Expense
302001021,مصروفات عمومية - رسوم طريق,Expense
302001022,مصروفات عمومية - مصروفات بريدية,Expense
302001023,مصروفات عمومية -,Expense
302001024,مصروفات عمومية - استشارات و خدمات تأمينية,Expense
302001025,مصروفات عمومية -  حوافز و مكافأت,Expense
302001026,مصروفات عمومية -  مصروفات سفر,Expense
302001027,مصروفات عمومية - مصاريف صيانة و نظافة,Expense
302001028,مصروفات عمومية - مساهمة تكافلية - تأمين صحى,Expense
302001029,مصروفات عمومية -,Expense
302001030,مصروفات عمومية -,Expense
302001031,مصروفات عمومية -,Expense
302001032,مصروفات عمومية -,Expense
302001033,مصروفات عمومية -,Expense
302001034,مصروفات عمومية -,Expense
302001035,مصروفات عمومية -,Expense
302001036,مصروفات عمومية -,Expense
302001037,مصروفات عمومية -,Expense
302001038,مصروفات عمومية -,Expense
302001039,مصروفات عمومية -,Expense
302001040,مصروفات عمومية -,Expense
4,الإيردادت,Revenue
401,إيرادات مباشرة,Revenue
401001,إيرادات المشاريع,Revenue
